query_id,target_id,variant,target_rank,target_rank_change_vs_full,embedding_cosine_to_full,top5_overlap_with_full,top1_id
B00CZ7QJUG,B005AD7WZI,full,284.0,0.0,1.0,5,B00A0OC4BY
B00CZ7QJUG,B005AD7WZI,shuffled,6226.0,5942.0,0.05668502673506737,0,B0098GE9GI
B00CZ7QJUG,B005AD7WZI,uniform,6125.0,5841.0,0.379377543926239,0,B007XCU72Y
B0083I6W08,B00BPD4N5E,full,70.0,0.0,1.0000001192092896,5,B0062B5JQQ
B0083I6W08,B00BPD4N5E,shuffled,2295.0,2225.0,0.09106288105249405,0,B005IYLOYE
B0083I6W08,B00BPD4N5E,uniform,484.0,414.0,0.20710554718971252,0,B006U6ENVK
B0083WOL16,B008VNAKSU,full,141.0,0.0,1.0,5,B002UFT5JA
B0083WOL16,B008VNAKSU,shuffled,2896.0,2755.0,0.12557172775268555,0,B0027W297Q
B0083WOL16,B008VNAKSU,uniform,6057.0,5916.0,0.23533888161182404,0,B004KJEOKO
B005Y4KFPM,B005Y4JJ0Y,full,92.0,0.0,1.000000238418579,5,B0087J58OE
B005Y4KFPM,B005Y4JJ0Y,shuffled,3475.0,3383.0,0.194870263338089,0,B000VX05IS
B005Y4KFPM,B005Y4JJ0Y,uniform,243.0,151.0,0.5601847767829895,0,B002NCIATQ
B006QHPYIY,B005NYBUF2,full,167.0,0.0,1.0000001192092896,5,B008O7SX5U
B006QHPYIY,B005NYBUF2,shuffled,1394.0,1227.0,0.18135155737400055,0,B005F0NY26
B006QHPYIY,B005NYBUF2,uniform,861.0,694.0,0.4526636600494385,0,B00A6X1ZHS
B001OATAN8,B001OAN6BK,full,1.0,0.0,1.0,5,B001OAN6BK
B001OATAN8,B001OAN6BK,shuffled,2.0,1.0,0.4098730981349945,1,B001LV9ZQM
B001OATAN8,B001OAN6BK,uniform,1.0,0.0,0.7904365062713623,3,B001OAN6BK
B0075G2YFG,B007A4H2IW,full,23.0,0.0,1.000000238418579,5,B005HIQ9KA
B0075G2YFG,B007A4H2IW,shuffled,5477.0,5454.0,0.2506648898124695,0,B005XEIPZK
B0075G2YFG,B007A4H2IW,uniform,1871.0,1848.0,0.5212108492851257,0,B001MG8S82
B005XIGOL8,B003IB71I2,full,1.0,0.0,1.000000238418579,5,B003IB71I2
B005XIGOL8,B003IB71I2,shuffled,3493.0,3492.0,0.2212894707918167,0,B005C91FL2
B005XIGOL8,B003IB71I2,uniform,152.0,151.0,0.476711243391037,0,B005C91IGE
B009LM1ZJS,B00B4EF1AA,full,1.0,0.0,0.9999998211860657,5,B00B4EF1AA
B009LM1ZJS,B00B4EF1AA,shuffled,316.0,315.0,0.2215816080570221,0,B007VYSBSG
B009LM1ZJS,B00B4EF1AA,uniform,419.0,418.0,0.2762088477611542,0,B003HIWLVI
B00EW84RMS,B00BGVUTBC,full,117.0,0.0,1.000000238418579,5,B006AJXW0A
B00EW84RMS,B00BGVUTBC,shuffled,831.0,714.0,0.11773920059204102,0,B00B4EF1AA
B00EW84RMS,B00BGVUTBC,uniform,54.0,-63.0,0.4977472424507141,0,B0088N39PY
B0073OGKDW,B004PLN0DO,full,2.0,0.0,1.0000001192092896,5,B00842GS3O
B0073OGKDW,B004PLN0DO,shuffled,4.0,2.0,0.2794665992259979,1,B004L627X2
B0073OGKDW,B004PLN0DO,uniform,8.0,6.0,0.6870999932289124,0,B003AQK8G2
B00AZLY7QM,B009MB8Q7C,full,1.0,0.0,1.000000238418579,5,B009MB8Q7C
