R@10,R@50,duration_seconds,epoch,evaluated,lr_composition,lr_image_encoder,lr_text_encoder,peak_allocated_gib,peak_reserved_gib,timestamp_utc,train_loss
,,139.571,1,False,0.0003,1e-05,1e-05,5.379,5.598,2026-07-13T08:16:35.551593+00:00,1.9017770038569037
,,138.572,2,False,0.00029979511544580873,9.993832906395583e-06,9.993832906395583e-06,5.374,5.598,2026-07-13T08:18:57.850705+00:00,1.6595550193028017
,,134.746,3,False,0.0002991810233575568,9.97534852915723e-06,9.97534852915723e-06,5.382,5.602,2026-07-13T08:21:27.278736+00:00,1.4183565923236907
,,138.435,4,False,0.00029815940691897306,9.94459753267812e-06,9.94459753267812e-06,5.389,5.602,2026-07-13T08:24:03.453483+00:00,1.209839533277374
14.229053049082797,36.68815071888944,151.656,5,True,0.0002967330663097039,9.901664203302126e-06,9.901664203302126e-06,5.379,5.602,2026-07-13T08:26:49.454688+00:00,1.0925282290115714
,,139.588,6,False,0.00029490591103021566,9.846666218300808e-06,9.846666218300808e-06,5.377,5.602,2026-07-13T08:29:27.540721+00:00,1.0098459414619814
,,137.863,7,False,0.0002926829491861254,9.779754323328192e-06,9.779754323328192e-06,5.382,5.602,2026-07-13T08:32:02.383725+00:00,0.9533833536234769
,,134.609,8,False,0.0002900702737613316,9.701111919237408e-06,9.701111919237408e-06,5.379,5.602,2026-07-13T08:34:32.329495+00:00,0.8898995412702866
,,138.009,9,False,0.00028707504591756876,9.610954559391704e-06,9.610954559391704e-06,5.382,5.602,2026-07-13T08:37:07.629581+00:00,0.8540973706360169
18.0466038671294,43.97620228061477,146.912,10,True,0.0002837054753661609,9.509529358847657e-06,9.509529358847657e-06,5.391,5.602,2026-07-13T08:39:50.061120+00:00,0.8289424231983124
,,139.439,11,False,0.00027997079786577355,9.397114317029977e-06,9.397114317029977e-06,5.38,5.602,2026-07-13T08:42:43.205208+00:00,0.7965984060005709
,,139.984,12,False,0.00027588124990784085,9.27401755575441e-06,9.27401755575441e-06,5.374,5.602,2026-07-13T08:45:17.937823+00:00,0.7663451140736514
,,136.307,13,False,0.0002714480406590546,9.140576474687265e-06,9.140576474687265e-06,5.379,5.602,2026-07-13T08:47:49.745850+00:00,0.7545383194869852
,,137.285,14,False,0.00026668332123781714,8.99715682655637e-06,8.99715682655637e-06,5.391,5.602,2026-07-13T08:50:23.306109+00:00,0.7232374571223947
18.294496777392165,42.98463063956371,143.998,15,True,0.00026160015140887043,8.844151714648274e-06,8.844151714648274e-06,5.391,5.602,2026-07-13T08:53:01.548804+00:00,0.7128297594938686
,,118.658,16,False,0.00025621246378738883,8.681980515339464e-06,8.681980515339464e-06,5.384,5.602,2026-07-13T08:55:17.333110+00:00,0.7100868014728322
,,126.9,17,False,0.0002505350256506493,8.511087728614861e-06,8.511087728614861e-06,5.379,5.602,2026-07-13T08:57:40.603325+00:00,0.6901247812146172
,,127.843,18,False,0.00024458339846195065,8.331941759724268e-06,8.331941759724268e-06,5.387,5.602,2026-07-13T09:00:03.237175+00:00,0.6801532208122671
,,137.116,19,False,0.00023837389521772466,8.145033635316128e-06,8.145033635316128e-06,5.383,5.602,2026-07-13T09:02:38.895839+00:00,0.6709386924690104
19.43480416460089,44.47198810114031,147.195,20,True,0.00023192353573474648,7.950875657567622e-06,7.950875657567622e-06,5.373,5.602,2026-07-13T09:05:20.829039+00:00,0.6617635602460188
,,136.895,21,False,0.00022524999999999992,7.75e-06,7.75e-06,5.379,5.602,2026-07-13T09:08:13.160565+00:00,0.6489666479634729
