category,query_id,target_id,target_rank,target_score,top1_id,top1_score,top1_top2_margin
shirt,B00CZ7QJUG,B005AD7WZI,284,0.1627107858657837,B00A0OC4BY,0.33557724952697754,0.006411373615264893
shirt,B0083I6W08,B00BPD4N5E,70,0.2356845736503601,B0062B5JQQ,0.3221904933452606,0.001722484827041626
shirt,B0083WOL16,B008VNAKSU,141,0.16569262742996216,B002UFT5JA,0.35147011280059814,0.013122916221618652
shirt,B005Y4KFPM,B005Y4JJ0Y,92,0.2342047393321991,B0087J58OE,0.3631821870803833,0.003597438335418701
shirt,B006QHPYIY,B005NYBUF2,167,0.16786068677902222,B008O7SX5U,0.2654203176498413,0.0027034878730773926
shirt,B001OATAN8,B001OAN6BK,1,0.35519206523895264,B001OAN6BK,0.35519206523895264,0.051996320486068726
shirt,B0075G2YFG,B007A4H2IW,23,0.25241199135780334,B005HIQ9KA,0.3018588423728943,0.01468050479888916
shirt,B005XIGOL8,B003IB71I2,1,0.32477086782455444,B003IB71I2,0.32477086782455444,0.004540562629699707
shirt,B009LM1ZJS,B00B4EF1AA,1,0.4342982769012451,B00B4EF1AA,0.4342982769012451,0.06738203763961792
shirt,B00EW84RMS,B00BGVUTBC,117,0.20754873752593994,B006AJXW0A,0.3421121835708618,0.007282644510269165
shirt,B0073OGKDW,B004PLN0DO,2,0.27904975414276123,B00842GS3O,0.29550063610076904,0.016450881958007812
shirt,B00AZLY7QM,B009MB8Q7C,1,0.37768179178237915,B009MB8Q7C,0.37768179178237915,0.009427696466445923
shirt,B008TP27PY,B004WSVYX8,316,0.13786593079566956,B007UOM818,0.30514925718307495,0.001107543706893921
shirt,B00CFZQIUE,B0062UCEE2,44,0.23687385022640228,B006CS7RIC,0.3633837103843689,0.0522194504737854
shirt,B003WESSNM,B008LK6OUQ,768,0.12405630201101303,B001N2QH4M,0.3214336037635803,0.013198792934417725
shirt,B002P7569Q,B009ZI10CK,38,0.22298049926757812,B0084A8JCO,0.3120464086532593,0.02377256751060486
shirt,B003X7AFR0,B00EU03D1E,80,0.23805004358291626,B00DCXXZQ8,0.33982956409454346,0.015812695026397705
shirt,B007POL3U0,B008XDHOEQ,208,0.17474159598350525,B00CZ6L9XO,0.3239271938800812,0.0026785433292388916
shirt,B007X2DHT4,B0090YV46G,82,0.21667635440826416,B001C1I46S,0.3545686602592468,0.016753017902374268
shirt,B00AYJ94AE,B004ZIJQVM,16,0.24429771304130554,B004UR1R2Y,0.34518158435821533,0.02040576934814453
shirt,B004J1JDH2,B0012C826O,5120,-0.011082503944635391,B00613EZ8S,0.28167617321014404,0.0031504929065704346
shirt,B0051D0X2Q,B003INE0Q6,18,0.32549166679382324,B008TOOBWW,0.38268107175827026,0.006610304117202759
shirt,B008VRA3AG,B008JBOODG,1730,0.0651816874742508,B006Q8U9D8,0.22751235961914062,0.014448374509811401
shirt,B00C51HF46,B00BSGTYMA,31,0.2340257167816162,B007WGBT1O,0.3119700849056244,0.007405668497085571
shirt,B006SDZ0JY,B004M17G1Y,45,0.25809043645858765,B004YO7H3G,0.3439851403236389,0.005614042282104492
shirt,B00AYU2QZ8,B00E3QGVFU,34,0.25381579995155334,B0099694TE,0.3553610146045685,0.004160165786743164
shirt,B005LCVMIG,B00073GAX6,33,0.288573294878006,B003TWOPKW,0.3545472323894501,0.003484785556793213
shirt,B0081ZLSWU,B0013EKE3K,319,0.13655337691307068,B0068YW1EA,0.3576592206954956,0.043162792921066284
shirt,B001SN7NRQ,B004OP2J56,278,0.16428977251052856,B004HHO2DI,0.3436036705970764,0.015952110290527344
shirt,B00ALRS9OG,B00EABHQPC,116,0.18477188050746918,B00EMN9GXI,0.3107483983039856,0.01006770133972168
shirt,B0081V2U6C,B00B8XSUSW,137,0.16346365213394165,B00BE3Z99O,0.2862613797187805,0.015725404024124146
shirt,B00853SE8E,B004IP8H7Q,64,0.1849023550748825,B004V4RYX2,0.32235652208328247,0.04264840483665466
shirt,B006TTQX6G,B009JOTMXY,36,0.22678016126155853,B007TXNVVG,0.2979624271392822,0.005776524543762207
shirt,B003OUWT0W,B0014UCUXU,550,0.10835173726081848,B00BCA2ORE,0.2846580147743225,0.011303961277008057
shirt,B008YCX6KC,B008R7FM1A,52,0.29029297828674316,B007GF53EK,0.3962160646915436,0.005096137523651123
shirt,B0038PZMTI,B000BFH7FA,218,0.14051508903503418,B004AYV3U8,0.31973886489868164,0.0018172264099121094
shirt,B000QHCNV6,B00G6UFA94,115,0.20452368259429932,B0057XC4P4,0.34862202405929565,0.0015575587749481201
shirt,B001KBZ1QQ,B004XASV0O,23,0.2981199622154236,B000RN76GG,0.37881040573120117,0.01830238103866577
shirt,B001XWTNGQ,B00BQ3R3CI,635,0.11122624576091766,B004L0KZOQ,0.3170900344848633,0.007377743721008301
shirt,B0059A4A5C,B004BGYQPO,11,0.2987484335899353,B00B4EF1AA,0.3774718642234802,0.010207176208496094
shirt,B009NUR66O,B00DJ3UPPA,485,0.12874490022659302,B008I5ZL4Y,0.30885159969329834,0.0005492568016052246
shirt,B00BK77UC8,B00D6G9NX0,4770,-0.003502701409161091,B006R1IWZQ,0.2956344187259674,0.016328901052474976
shirt,B00EABHQPC,B00ALRS9OG,86,0.18993517756462097,B000FEIJ2C,0.3001583218574524,0.008524596691131592
shirt,B007HZ9C6Y,B004XJDKCO,33,0.2774084806442261,B00861KWY4,0.3523028492927551,0.01383274793624878
shirt,B001CWN1A6,B001VAF1G6,7,0.3494207262992859,B008LK7CAW,0.37777090072631836,0.011491477489471436
shirt,B008HO2HZ2,B0099S89HA,31,0.2635122537612915,B0031WU9F0,0.3062061071395874,0.017549842596054077
shirt,B002NCIATQ,B008J4E76W,107,0.1870308518409729,B00865CPJ0,0.32650691270828247,0.027467429637908936
shirt,B007ZGZ80E,B0060K7LLU,119,0.2060854732990265,B009QEERZK,0.327850341796875,0.010193169116973877
shirt,B009VZW24C,B004ZITRGQ,1361,0.08551645278930664,B007F85FQO,0.23942425847053528,0.013551473617553711
shirt,B0013FPI8K,B001GHIUDK,17,0.321402907371521,B0013FJWT6,0.3867480754852295,0.0
shirt,B003TWOPKW,B001A92CC4,9,0.262630820274353,B008CXZBG0,0.28659671545028687,0.005464911460876465
shirt,B003TSDPJI,B0062VX9YA,41,0.29263097047805786,B007TXSQ6G,0.3808138370513916,0.02110961079597473
shirt,B003XCKD3G,B0061SL9LO,183,0.16566240787506104,B006H6V636,0.30479368567466736,0.009723871946334839
shirt,B003Z6OPF2,B00BARY35A,83,0.18231475353240967,B00B1P3ANC,0.33686715364456177,0.01869189739227295
shirt,B00AREPLXK,B0081K48FY,17,0.2604629099369049,B0046RDF00,0.331647664308548,0.006032794713973999
shirt,B00449EW9S,B0035GKKEM,39,0.2668722867965698,B00BUIZB1O,0.3761279582977295,0.012396425008773804
shirt,B004ZC2HIC,B00BV2SB20,132,0.18815334141254425,B0085XLJZO,0.2878195643424988,0.0008943676948547363
shirt,B004BO6CXA,B003I7CZ8C,2551,0.05370457470417023,B00470CH6O,0.3328186273574829,0.0013241767883300781
shirt,B009G0S8CM,B005OQ0QDG,171,0.15804670751094818,B00CMTB5GU,0.31696128845214844,0.012941867113113403
shirt,B000BQ09GS,B0046R0BDE,227,0.1437584012746811,B00BMPMJ6U,0.24455155432224274,0.002811715006828308
shirt,B00BT0JNWQ,B00ADZ1H8G,2278,0.06723355501890182,B0064POSPI,0.29509252309799194,0.018762022256851196
shirt,B005TGMERW,B002SBOJHY,829,0.10138176381587982,B006RI31XW,0.4281930923461914,0.031301677227020264
shirt,B003FGW8MO,B00GHN6XLY,296,0.14052338898181915,B005Q0B9ZY,0.2865419387817383,0.013393521308898926
shirt,B0029529MG,B0098ZHBY6,49,0.2749239504337311,B00B7Q8HK6,0.33388838171958923,0.001046210527420044
shirt,B0098GE9GI,B00589BQSI,103,0.16650980710983276,B003WHN082,0.29462411999702454,0.039530664682388306
